ID,Restaurant Name,Cuisines
1,AB's Absolute Barbecues - Sidra Tower,"Indian, Continental"
2,AB's Absolute Barbecues - Centurion Star Tower,"Continental, Indian"
3,Al Mukhtar Bakery,"Bakery, Arabian, Middle Eastern"
4,Applebee's - Sahara Centre,"American, Mexican, Burger"
5,Applebee's - Sheikh Issa Tower,"American, Mexican, Burger"
6,Applebee's - Mushrif Mall,"American, Mexican, Seafood"
7,Aroos Damascus,"Arabian, Middle Eastern"
8,Bait El Khetyar,"Lebanese, Arabian, Middle Eastern"
9,Barbeque Nation,"Indian, North Indian"
10,Carnival By Tresind,Indian
11,Cho Gao - Crowne Plaza Abu Dhabi,"Thai, Japanese, Chinese, Indonesian, Vietnamese"
12,Crafted Blends,Cafe
13,Denny's,American
14,Derby,"Fast Food, American"
15,Din Tai Fung,"Asian, Chinese"
16,Famous Dave's Barbecue,American
17,Farzi Cafe,"International, Indian"
18,Gazebo - King Faisal Street,"Indian, Mughlai, Indian, Biryani"
19,Gazebo - Dalma Mall,"Indian, North Indian, Mughlai, Biryani"
20,Genghis Grill,Asian
21,Grand Barbeque Buffet Restaurant,"Indian, Asian"
22,Grub Shack,"Goan, Chinese, Indian, North Indian"
23,Hard Rock Cafe,"American, Burger"
24,Hot Palayok,"Filipino, Japanese, Asian"
25,Indian By Nature,Indian
26,Kamat,"Indian, North Indian, Indian, Chinese"
27,Katis Restaurant,"Indian, North Indian, Chinese"
28,Maharaja Bhog,"Indian, Rajasthani"
29,Najmat Lahore Restaurant,"Pakistani, Indian, Mughlai"
30,Nando's,"African, Portuguese"
31,Nayaab Haandi,"Pakistani, Indian"
32,Olive Garden,"Italian, Pizza"
33,P.F. Chang's,Chinese
34,Paper Fig,"Cafe, Bakery, Desserts"
35,Parker's,"Cafe, Burger"
36,Peking Chinese Restaurant,"Chinese, Thai"
37,Pizza Di Rocco,"Italian, Pizza"
38,Pizza Hut,"Fast Food, Pizza"
39,Punjab Grill,"Indian, North Indian"
40,Rajasthan Al Malaki,"Indian, North Indian"
41,Rasoi Ghar,Indian
42,Red Lobster,"Seafood, American"
43,SALT,"Fast Food, Burger"
44,Saffron,"Pakistani, Chinese, Indian, Afghani"
45,Salt,"Fast Food, Burger"
46,Sis Burger,"Fast Food, Burger"
47,Sofra Istanbul,"Turkish, Arabian, Middle Eastern"
48,SpiceKlub,"Indian, North Indian, Street Food"
49,TGI Friday's,"American, Mexican"
50,Tamba,Indian
51,The Cheesecake Factory,"American, Desserts"
52,The Cheesecake Factory - The Dubai Mall,"American, Desserts"
53,The Cheesecake Factory - Yas Mall,Cafe
54,The Farm,"Mediterranean, Italian, Thai, European"
55,Tikka Tonight,"Pakistani, Afghani, Indian, Hyderabadi"
56,Tresind - Nassima Royal Hotel,Indian
57,Vadakkan Pepper,Indian
58,Via Delhi,"Indian, North Indian, Chinese"
59,Zaroob,Lebanese
