ID,Restaurant Name,Cuisines,Afghani,African,American,Arabian,Asian,Bakery,Biryani,Burger,Cafe,Chinese,Continental,Desserts,European,Fast Food,Filipino,Goan,Hyderabadi,Indian,Indonesian,International,Italian,Japanese,Lebanese,Mediterranean,Mexican,Middle Eastern,Mughlai,North Indian,Pakistani,Pizza,Portuguese,Rajasthani,Seafood,Street Food,Thai,Turkish,Vietnamese
1,AB's Absolute Barbecues - Sidra Tower,"Indian, Continental",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,AB's Absolute Barbecues - Centurion Star Tower,"Continental, Indian",False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,Al Mukhtar Bakery,"Bakery, Arabian, Middle Eastern",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,Applebee's - Sahara Centre,"American, Mexican, Burger",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,Applebee's - Sheikh Issa Tower,"American, Mexican, Burger",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Applebee's - Mushrif Mall,"American, Mexican, Seafood",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,Aroos Damascus,"Arabian, Middle Eastern",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,Bait El Khetyar,"Lebanese, Arabian, Middle Eastern",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,Barbeque Nation,"Indian, North Indian",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,Carnival By Tresind,Indian,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
