ID,Restaurant ID,Restaurant Name,City,Address,Locality,Longitude,Latitude,Cuisines,Average Cost per person,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Country
1,208939,AB's Absolute Barbecues - Sidra Tower,Dubai,"Sidra Tower, Near GEMS Wellington School, Exit 36, Sheikh Zayed Road, Dubai Media City, Dubai",Dubai Media City,55.17874617,25.10777315,"Indian, Continental",80.0,Emirati Diram(AED),Yes,No,No,No,3,4.8,Dark Green,Excellent,2510,UAE
2,18269368,AB's Absolute Barbecues - Centurion Star Tower,Dubai,"Centurion Star Tower, Deira City Centre Area, Dubai",Deira City Centre Area,55.32874,25.254105,"Continental, Indian",80.0,Emirati Diram(AED),Yes,No,No,No,3,4.9,Dark Green,Excellent,641,UAE
3,5600960,Al Mukhtar Bakery,Sharjah,"Near Safeer Mall, Al Nahda, Sharjah",Al Nahda,55.37728127,25.3084117,"Bakery, Arabian, Middle Eastern",25.0,Emirati Diram(AED),No,No,No,No,2,4.2,Green,Very Good,142,UAE
4,5601521,Applebee's - Sahara Centre,Sharjah,"Sahara Centre, Al Nahda, Sharjah","Sahara Centre, Al Nahda",55.37353624,25.29782287,"American, Mexican, Burger",125.0,Emirati Diram(AED),No,Yes,No,No,4,4.1,Green,Very Good,197,UAE
5,202507,Applebee's - Sheikh Issa Tower,Dubai,"Sheikh Issa Tower, Sheikh Zayed Road, Trade Centre Area, Dubai",Trade Centre Area,55.27430557,25.21135663,"American, Mexican, Burger",125.0,Emirati Diram(AED),No,Yes,No,No,3,3.7,Yellow,Good,500,UAE
6,5701052,Applebee's - Mushrif Mall,Abu Dhabi,"Mushrif Mall, Al Mushrif, Abu Dhabi","Mushrif Mall, Al Mushrif",54.41314146,24.43409939,"American, Mexican, Seafood",125.0,Emirati Diram(AED),No,Yes,No,No,4,4.0,Green,Very Good,205,UAE
7,5601340,Aroos Damascus,Sharjah,"Opposite Emirates NBD, Near First Gulf Bank, King Abdul Aziz Street, Al Nud, Sharjah",Al Nud,55.39045796,25.34640794,"Arabian, Middle Eastern",30.0,Emirati Diram(AED),No,No,No,No,3,4.2,Green,Very Good,444,UAE
8,5701548,Bait El Khetyar,Abu Dhabi,"Al Najda Street, Najda, Abu Dhabi",Najda,54.37143378,24.48841145,"Lebanese, Arabian, Middle Eastern",35.0,Emirati Diram(AED),No,Yes,No,No,2,4.0,Green,Very Good,380,UAE
9,18340881,Barbeque Nation,Dubai,"G1, Villa, Near HQ Fitness, Near Lulu Mall, Barsha 2, Dubai",Barsha 2,55.215341,25.11338,"Indian, North Indian",75.0,Emirati Diram(AED),Yes,No,No,No,3,4.5,Dark Green,Excellent,307,UAE
10,18254160,Carnival By Tresind,Dubai,"Podium Level, Burj Daman, DIFC, Dubai",DIFC,55.281966,25.211183,Indian,250.0,Emirati Diram(AED),Yes,No,No,No,4,4.9,Dark Green,Excellent,322,UAE
